"Name","abb","book","aggressions","paragraphs","mentions","agg.per.mention","mentions.per.p","agg.weighted"
"Minerva McGonagall","mcgo","The Prisoner of Azkaban",0,4092,98,0,0.0239491691104594,0
"Sirius Black","siri","The Prisoner of Azkaban",6,4092,122,0.0491803278688525,0.0298142717497556,201.245901639344
"Peter Pettigrew","worm","The Prisoner of Azkaban",3,4092,96,0.03125,0.0234604105571848,127.875
"Ginny Wealsey","ginn","The Prisoner of Azkaban",0,4092,18,0,0.00439882697947214,0
"Thorfinn Rowle","rowl","The Prisoner of Azkaban",0,4092,11,0,0.00268817204301075,0
"Whomping Willow","will","The Prisoner of Azkaban",1,4092,24,0.0416666666666667,0.00586510263929619,170.5
"Vincent Crabbe ","crab","The Prisoner of Azkaban",0,4092,32,0,0.00782013685239492,0
"Fred Weasley","fred","The Prisoner of Azkaban",0,4092,72,0,0.0175953079178886,0
"George Weasley","geor","The Prisoner of Azkaban",0,4092,60,0,0.0146627565982405,0
"James Potter","jame","The Prisoner of Azkaban",0,4092,31,0,0.00757575757575758,0
"Filius Flitwick","flit","The Prisoner of Azkaban",0,4092,22,0,0.00537634408602151,0
"Rubeus Hagrid","hagr","The Prisoner of Azkaban",0,4092,225,0,0.0549853372434018,0
"Parvati Patil","parv","The Prisoner of Azkaban",1,4092,18,0.0555555555555556,0.00439882697947214,227.333333333333
"Buckbeak","buck","The Prisoner of Azkaban",1,4092,82,0.0121951219512195,0.020039100684262,49.9024390243902
"Cho Chang","choc","The Prisoner of Azkaban",0,4092,141,0,0.0344574780058651,0
"Dean Thomas","dean","The Prisoner of Azkaban",1,4092,17,0.0588235294117647,0.0041544477028348,240.705882352941
"Peeves","peev","The Prisoner of Azkaban",0,4092,18,0,0.00439882697947214,0
"Percy Weasley","perc","The Prisoner of Azkaban",0,4092,63,0,0.0153958944281525,0
"Seamus Finnagin","seam","The Prisoner of Azkaban",1,4092,18,0.0555555555555556,0.00439882697947214,227.333333333333
"Sybill Trelawney","trel","The Prisoner of Azkaban",0,4092,80,0,0.0195503421309873,0
"Greggory Goyle","goyl","The Prisoner of Azkaban",0,4092,35,0,0.00855327468230694,0
"Madam Hooch","hooc","The Prisoner of Azkaban",0,4092,21,0,0.00513196480938416,0
"Harry","harr","The Goblet of Fire",20,6803,2593,0.00771307365985345,0.381155372629722,52.472040107983
"Hermione Granger","herm","The Goblet of Fire",2,6803,821,0.00243605359317905,0.120682052035867,16.5724725943971
"Voldemort","vold","The Goblet of Fire",11,6803,197,0.0558375634517767,0.0289578127296781,379.862944162437
"Ron Wealsey","ronw","The Goblet of Fire",3,6803,1193,0.00251466890192791,0.175363810083787,17.1072925398156
"Severus Snape","snap","The Goblet of Fire",0,6803,205,0,0.0301337645156549,0
"Albus Dumbledore","albu","The Goblet of Fire",1,6803,507,0.0019723865877712,0.0745259444362781,13.4181459566075
"Draco Malfoy","drac","The Goblet of Fire",2,6803,22,0.0909090909090909,0.00323386741143613,618.454545454545
"Neville Longbottom","nevi","The Goblet of Fire",0,6803,68,0,0.00999559018080259,0
"Dementors","deme","The Goblet of Fire",3,6803,37,0.0810810810810811,0.00543877701014258,551.594594594595
"Barty Crouch Jr.","croj","The Goblet of Fire",12,6803,24,0.5,0.00352785535793033,3401.5
"Minerva McGonagall","mcgo","The Goblet of Fire",0,6803,92,0,0.0135234455387329,0
"Sirius Black","siri","The Goblet of Fire",0,6803,181,0,0.0266059091577245,0
"Ginny Wealsey","ginn","The Goblet of Fire",0,6803,43,0,0.00632074084962517,0
"Thorfinn Rowle","rowl","The Goblet of Fire",0,6803,32,0,0.0047038071439071,0
"Vincent Crabbe ","crab","The Goblet of Fire",0,6803,35,0,0.00514478906364839,0
"Dobby","dobb","The Goblet of Fire",0,6803,114,0,0.016757312950169,0
"Fred Weasley","fred","The Goblet of Fire",2,6803,181,0.0110497237569061,0.0266059091577245,75.1712707182321
"George Weasley","geor","The Goblet of Fire",1,6803,154,0.00649350649350649,0.0226370718800529,44.1753246753247
"Arthur Weasley","arth","The Goblet of Fire",1,6803,32,0.03125,0.0047038071439071,212.59375
"Barty Crouch Sr.","cros","The Goblet of Fire",4,6803,24,0.166666666666667,0.00352785535793033,1133.83333333333
"Filius Flitwick","flit","The Goblet of Fire",0,6803,13,0,0.00191092165221226,0
"Amos Diggory","amos","The Goblet of Fire",3,6803,28,0.107142857142857,0.00411583125091871,728.892857142857
"Rubeus Hagrid","hagr","The Goblet of Fire",0,6803,313,0,0.0460091136263413,0
"Cedric Diggory","cedr","The Goblet of Fire",3,6803,304,0.00986842105263158,0.0446861678671174,67.1348684210526
"Giants","gian","The Goblet of Fire",0,6803,14,0,0.00205791562545936,0
"Parvati Patil","parv","The Goblet of Fire",0,6803,40,0,0.00587975892988387,0
"Cho Chang","choc","The Goblet of Fire",0,6803,236,0,0.0346905776863149,0
"Dean Thomas","dean","The Goblet of Fire",0,6803,24,0,0.00352785535793033,0
"Viktor Krum","krum","The Goblet of Fire",2,6803,189,0.0105820105820106,0.0277818609437013,71.989417989418
"Madame Maxime","maxi","The Goblet of Fire",0,6803,91,0,0.0133764515654858,0
"Alastor Moody","mood","The Goblet of Fire",0,6803,314,0,0.0461561075995884,0
"Peeves","peev","The Goblet of Fire",0,6803,28,0,0.00411583125091871,0
"Percy Weasley","perc","The Goblet of Fire",0,6803,107,0,0.0157283551374394,0
"Seamus Finnagin","seam","The Goblet of Fire",0,6803,26,0,0.00382184330442452,0
"Sybill Trelawney","trel","The Goblet of Fire",0,6803,32,0,0.0047038071439071,0
"Colin Creevey","coli","The Goblet of Fire",0,6803,25,0,0.00367484933117742,0
"Fleur Delacour","fleu","The Goblet of Fire",1,6803,89,0.0112359550561798,0.0130824636189916,76.438202247191
"Greggory Goyle","goyl","The Goblet of Fire",0,6803,48,0,0.00705571071586065,0
"Lee Jordan","leej","The Goblet of Fire",0,6803,12,0,0.00176392767896516,0
"Harry","harr","The Order of the Phoenix",26,9275,3509,0.00740951838130522,0.37832884097035,68.7232829866059
"Hermione Granger","herm","The Order of the Phoenix",10,9275,1249,0.00800640512409928,0.13466307277628,74.2594075260208
"Voldemort","vold","The Order of the Phoenix",3,9275,206,0.0145631067961165,0.0222102425876011,135.072815533981
"Ron Wealsey","ronw","The Order of the Phoenix",8,9275,1526,0.00524246395806029,0.164528301886792,48.6238532110092
"Bellatrix Lestrange","bell","The Order of the Phoenix",15,9275,53,0.283018867924528,0.00571428571428571,2625
"Severus Snape","snap","The Order of the Phoenix",8,9275,326,0.0245398773006135,0.0351482479784367,227.60736196319
"Albus Dumbledore","albu","The Order of the Phoenix",11,9275,574,0.0191637630662021,0.0618867924528302,177.743902439024
"Boggart","bogg","The Order of the Phoenix",7,9275,11,0.636363636363636,0.00118598382749326,5902.27272727273
"Draco Malfoy","drac","The Order of the Phoenix",1,9275,26,0.0384615384615385,0.00280323450134771,356.730769230769
"Neville Longbottom","nevi","The Order of the Phoenix",16,9275,237,0.0675105485232067,0.0255525606469003,626.160337552743
"Dolores Umbridge","umbr","The Order of the Phoenix",17,9275,537,0.031657355679702,0.0578975741239892,293.621973929237
"Dementors","deme","The Order of the Phoenix",0,9275,88,0,0.00948787061994609,0
"Molly Weasley","moll","The Order of the Phoenix",5,9275,35,0.142857142857143,0.00377358490566038,1325
"Remus Lupin","remu","The Order of the Phoenix",1,9275,160,0.00625,0.0172506738544474,57.96875
"Minerva McGonagall","mcgo","The Order of the Phoenix",0,9275,174,0,0.0187601078167116,0
"Sirius Black","siri","The Order of the Phoenix",2,9275,552,0.0036231884057971,0.0595148247978437,33.6050724637681
"Antonin Dolohov","dolo","The Order of the Phoenix",5,9275,12,0.416666666666667,0.00129380053908356,3864.58333333333
"Ginny Wealsey","ginn","The Order of the Phoenix",3,9275,225,0.0133333333333333,0.0242587601078167,123.666666666667
"Thorfinn Rowle","rowl","The Order of the Phoenix",0,9275,26,0,0.00280323450134771,0
